date,Open,High,Low,Adj Close,Volume
2020-04-21 09:35:00,113.9,115.0,112.16,112.6447,1035244.0
2020-04-20 16:00:00,120.74,121.06,120.5,120.5,311859.0
2020-04-20 15:55:00,120.82,120.83,120.32,120.76,178549.0
2020-04-20 15:50:00,120.83,120.9,120.64,120.7901,122686.0
2020-04-20 15:45:00,120.69,120.9,120.6212,120.83,99540.0
2020-04-20 15:40:00,121.03,121.03,120.62,120.66,89987.0
2020-04-20 15:35:00,120.78,121.03,120.63,121.0293,74534.0
2020-04-20 15:30:00,120.66,120.82,120.4675,120.8,83637.0
2020-04-20 15:25:00,120.51,120.75,120.45,120.69,67926.0
2020-04-20 15:20:00,120.59,120.81,120.4601,120.53,66876.0
2020-04-20 15:15:00,120.69,120.83,120.47,120.63,54441.0
2020-04-20 15:10:00,120.58,120.82,120.37,120.6881,90808.0
2020-04-20 15:05:00,120.365,120.73,120.365,120.59,59385.0
2020-04-20 15:00:00,120.7101,120.72,120.29,120.34,73822.0
2020-04-20 14:55:00,121.36,121.36,120.73,120.73,70712.0
2020-04-20 14:50:00,121.31,121.48,121.2,121.37,46819.0
2020-04-20 14:45:00,121.38,121.45,121.22,121.285,64405.0
2020-04-20 14:40:00,121.36,121.4759,121.26,121.39,40545.0
2020-04-20 14:35:00,121.12,121.44,121.08,121.36,40010.0
2020-04-20 14:30:00,121.343,121.57,121.08,121.11,66150.0
2020-04-20 14:25:00,121.5783,121.65,121.31,121.3306,49087.0
2020-04-20 14:20:00,121.555,121.6901,121.43,121.58,47160.0
2020-04-20 14:15:00,122.0725,122.0725,121.5033,121.56,56495.0
2020-04-20 14:10:00,122.26,122.31,122.03,122.08,37071.0
2020-04-20 14:05:00,122.29,122.39,122.125,122.235,55905.0
2020-04-20 14:00:00,122.14,122.35,122.0,122.34,50120.0
2020-04-20 13:55:00,121.97,122.2,121.967,122.16,40675.0
2020-04-20 13:50:00,121.8,122.05,121.76,121.925,36851.0
2020-04-20 13:45:00,121.67,121.99,121.67,121.81,32651.0
2020-04-20 13:40:00,121.7,121.73,121.545,121.69,36034.0
2020-04-20 13:35:00,121.82,121.88,121.54,121.68,32368.0
2020-04-20 13:30:00,121.53,121.94,121.38,121.84,70520.0
2020-04-20 13:25:00,121.62,121.71,121.5373,121.54,31314.0
2020-04-20 13:20:00,121.7,122.02,121.5,121.64,61306.0
2020-04-20 13:15:00,121.78,122.08,121.63,121.68,99738.0
2020-04-20 13:10:00,122.04,122.16,121.78,121.78,74909.0
2020-04-20 13:05:00,122.14,122.15,121.8444,122.02,45198.0
2020-04-20 13:00:00,122.02,122.1528,121.8003,122.13,47014.0
2020-04-20 12:55:00,122.07,122.1199,121.93,122.03,31404.0
2020-04-20 12:50:00,122.1,122.14,121.77,122.06,59092.0
2020-04-20 12:45:00,122.58,122.6076,122.1,122.1,65284.0
2020-04-20 12:40:00,122.6403,122.7,122.53,122.58,49590.0
2020-04-20 12:35:00,122.49,122.655,122.49,122.635,45195.0
2020-04-20 12:30:00,122.67,122.8,122.46,122.4771,96966.0
2020-04-20 12:25:00,122.25,122.67,122.114,122.67,88182.0
2020-04-20 12:20:00,122.0801,122.41,122.02,122.22,41426.0
2020-04-20 12:15:00,122.43,122.48,122.11,122.11,49364.0
2020-04-20 12:10:00,122.4691,122.54,122.365,122.42,40975.0
2020-04-20 12:05:00,122.76,122.8635,122.44,122.47,75752.0
2020-04-20 12:00:00,122.78,122.8,122.38,122.75,49398.0
2020-04-20 11:55:00,122.7346,122.83,122.66,122.731,50833.0
2020-04-20 11:50:00,122.5,122.74,122.4,122.74,50787.0
2020-04-20 11:45:00,122.41,122.65,122.41,122.49,59041.0
2020-04-20 11:40:00,121.8,122.48,121.78,122.4478,65404.0
2020-04-20 11:35:00,121.73,121.87,121.58,121.78,38254.0
2020-04-20 11:30:00,121.8459,121.97,121.62,121.7682,50917.0
2020-04-20 11:25:00,121.59,121.96,121.59,121.8354,46515.0
2020-04-20 11:20:00,121.485,121.75,121.39,121.65,36990.0
2020-04-20 11:15:00,121.43,121.67,121.32,121.48,45267.0
2020-04-20 11:10:00,121.635,121.87,121.294,121.431,66684.0
2020-04-20 11:05:00,121.23,121.76,121.11,121.6293,72008.0
2020-04-20 11:00:00,121.27,121.72,121.25,121.27,65719.0
2020-04-20 10:55:00,120.74,121.285,120.73,121.24,77819.0
2020-04-20 10:50:00,120.44,120.88,120.41,120.75,51599.0
2020-04-20 10:45:00,120.15,120.4465,120.06,120.4331,43882.0
2020-04-20 10:40:00,119.9122,120.15,119.9,120.1,28662.0
2020-04-20 10:35:00,119.65,120.11,119.65,119.94,47471.0
2020-04-20 10:30:00,119.87,119.88,119.37,119.7,49606.0
2020-04-20 10:25:00,119.9,119.91,119.61,119.8004,33047.0
2020-04-20 10:20:00,120.135,120.14,119.83,119.94,47163.0
2020-04-20 10:15:00,119.66,120.23,119.65,120.125,74134.0
2020-04-20 10:10:00,119.48,119.79,119.39,119.7025,56631.0
2020-04-20 10:05:00,119.11,119.55,119.04,119.49,60091.0
2020-04-20 10:00:00,118.94,119.3299,118.85,119.16,85878.0
2020-04-20 09:55:00,118.58,118.97,118.5,118.88,52729.0
2020-04-20 09:50:00,118.74,118.95,118.5522,118.6088,47657.0
2020-04-20 09:45:00,118.78,119.19,118.66,118.695,59708.0
2020-04-20 09:40:00,118.395,118.78,118.35,118.7,67466.0
2020-04-20 09:35:00,119.11,119.34,118.14,118.44,174650.0
2020-04-17 16:00:00,120.19,120.3,119.95,120.11,288616.0
2020-04-17 15:55:00,119.85,120.275,119.85,120.18,213177.0
2020-04-17 15:50:00,119.5,119.86,119.43,119.83,95354.0
2020-04-17 15:45:00,119.38,119.515,119.34,119.5,159869.0
2020-04-17 15:40:00,119.47,119.52,119.33,119.38,86377.0
2020-04-17 15:35:00,119.595,119.63,119.44,119.465,67914.0
2020-04-17 15:30:00,119.44,119.61,119.415,119.57,55166.0
2020-04-17 15:25:00,119.46,119.49,119.34,119.4422,32362.0
2020-04-17 15:20:00,119.1,119.485,119.1,119.4826,29470.0
2020-04-17 15:15:00,119.31,119.335,119.04,119.07,45087.0
